#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
10,Spain,"11,378,784",,"102,053 ",,"10,707,169",,"569,562",682,"243,209","2,181","471,036,328","10,067,904","46,785,939 ",Europe,44580,,,"12,174"
11,S. Korea,"10,822,836","+395,589","13,902 ",+470,N/A,N/A,N/A,"1,081","210,786",271,"15,804,065","307,801","51,345,107 ",Asia,"53,6933","7,705",9,"191,633"
12,Argentina,"9,019,660",,"127,752 ",,"8,823,724",,"68,184",659,"196,467","2,783","35,182,768","766,354","45,909,309 ",South America,53591,,,"1,485"
13,Vietnam,"8,479,751",,"42,075 ",,"4,661,270",,"3,776,406","3,764","85,788",426,"83,048,614","840,187","98,845,416 ",Asia,"122,3491",,,"38,205"
14,Netherlands,"7,626,640",,"21,836 ",,"6,096,706",,"1,508,098",173,"443,406","1,270","21,107,399","1,227,167","17,200,109 ",Europe,27881,,,"87,680"
15,Iran,"7,144,532",,"139,802 ",,"6,837,721",,"167,009","1,816","83,229","1,629","48,534,882","565,395","85,842,357 ",Asia,126142,,,"1,946"
16,Japan,"6,189,816","+36,605","27,356 ",+110,"5,728,024","+56,967","434,436",891,"49,200",217,"42,372,009","336,793","125,810,254 ",Asia,"204,5993",291,0.9,"3,453"
17,Colombia,"6,082,226",,"139,508 ",,"5,914,578",,"28,140",342,"117,381","2,692","33,742,049","651,191","51,815,941 ",South America,93712,,,543
18,Indonesia,"5,986,830","+5,808","154,343 ",+122,"5,676,510","+18,272","155,977","2,771","21,497",554,"91,035,716","326,879","278,499,633 ",Asia,"471,8043",21,0.4,560
19,Poland,"5,924,876","+8,994","114,626 ",+146,"5,269,997","+8,067","540,253",363,"156,845","3,034","35,279,889","933,941","37,775,286 ",Europe,63301,238,4,"14,302"
20,Mexico,"5,640,305","+4,251","322,277 ",+158,"4,937,642","+3,888","380,386","4,798","42,969","2,455","15,475,238","117,895","131,263,268 ",North America,234078,32,1,"2,898"
21,Ukraine,"4,945,428",,"107,724 ",,N/A,N/A,N/A,177,"114,261","2,489","19,521,252","451,028","43,281,686 ",Europe,94022,,,"18,014"
22,Australia,"4,122,142","+63,184","5,824 ",+35,"3,646,301",,"470,017",102,"158,490",224,"65,708,491","2,526,387","26,008,878 ",Australia/Oceania,"64,4660","2,429",1,"18,071"
23,Malaysia,"4,054,926",,"34,600 ",,"3,771,463",,"248,863",332,"122,582","1,046","54,082,305","1,634,926","33,079,368 ",Asia,89561,,,"7,523"
24,Israel,"3,814,635",,"10,455 ",,"3,734,564",,"69,616",306,"409,032","1,121","41,373,364","4,436,346","9,326,000 ",Asia,28920,,,"7,465"
25,Czechia,"3,769,667","+8,475","39,467 ",+12,"3,649,941","+3,838","80,259",104,"350,890","3,674","54,492,549","5,072,298","10,743,167 ",Europe,32720,789,1,"7,471"
26,Belgium,"3,757,776","+16,162","30,635 ",+30,"3,481,607","+5,954","245,534",179,"321,826","2,624","32,547,492","2,787,457","11,676,411 ",Europe,33810,"1,384",3,"21,028"
27,South Africa,"3,707,089",,"99,899 ",,"3,594,194",,"12,996",546,"61,178","1,649","23,643,793","390,193","60,595,060 ",Africa,166073,,,214
28,Philippines,"3,675,384",,"58,563 ",,"3,572,224",,"44,597",289,"32,790",522,"28,756,125","256,545","112,090,029 ",Asia,"301,9144",,,398
29,Austria,"3,627,093","+41,607","15,579  ",+49,"3,168,886","+39,882","442,628",233,"398,809","1,713","172,558,127","18,973,234","9,094,819 ",Europe,35840,"4,575",5,"48,668"
30,Peru,"3,542,602",,"211,944 ",,N/A,N/A,N/A,575,"104,929","6,278","28,300,965","838,251","33,761,937 ",South America,101591,,,"47,687"
31,Portugal,"3,458,727",,"21,408 ",,N/A,N/A,N/A,66,"340,911","2,110","39,624,193","3,905,573","10,145,552 ",Europe,34740,,,"55,309"
32,Thailand,"3,450,980","+27,024","24,582 ",+82,"3,186,052","+23,721","240,346","1,496","49,228",351,"17,270,775","246,369","70,101,352 ",Asia,"202,8524",385,1,"3,429"
33,Canada,"3,420,292",,"37,286 ",,"3,255,833",,"127,173",409,"89,276",973,"59,103,163","1,542,700","38,311,500 ",North America,"111,0281",,,"3,319"
34,Chile,"3,415,989",,"55,992 ",,"2,821,559",,"538,438",744,"176,095","2,886","34,893,207","1,798,756","19,398,525 ",South America,63461,,,"27,757"
